,2022-03-01,2023-03-01
Sales,13.72,21.51
Expenses,8.08,15.51
Operating Profit,5.64,6.0
OPM %,41.11,27.89
Other Income,0.3,2.19
Interest,0.72,2.22
Depreciation,0.69,1.59
Profit before tax,4.53,4.38
Tax %,24.28,27.17
Net Profit,3.43,3.18
EPS in Rs,11.76,1.87
