,2022-09-01,2023-09-01
Sales,11.65,17.46
Expenses,10.18,21.93
Operating Profit,1.47,-4.47
OPM %,12.62,-25.6
Other Income,0.33,1.38
Interest,1.21,2.02
Depreciation,0.0,2.28
Profit before tax,0.59,-7.39
Tax %,0.0,2.98
Net Profit,0.59,-7.17
EPS in Rs,1.74,-3.08
