,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.22,0.38,0.16,0.14,0.23,0.33,0.36,0.34,0.48,0.48,0.54,0.57
Expenses,0.14,0.33,0.14,0.13,0.19,0.32,0.31,0.29,0.52,0.43,0.53,0.6
Operating Profit,0.08,0.05,0.02,0.01,0.04,0.01,0.05,0.05,-0.04,0.05,0.01,-0.03
OPM %,36.36,13.16,12.5,7.14,17.39,3.03,13.89,14.71,-8.33,10.42,1.85,-5.26
Other Income,0.0,0.01,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.08
Interest,0.01,0.02,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01
Depreciation,0.0,0.02,0.0,0.00,0.0,0.02,0.0,0.0,0.0,0.04,0.0,0.0
Profit before tax,0.07,0.02,0.01,0.00,0.04,-0.02,0.04,0.04,-0.05,0.00,0.01,0.04
Tax %,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Net Profit,0.07,0.01,0.01,0.00,0.04,-0.02,0.04,0.04,-0.05,0.00,0.01,0.04
EPS in Rs,0.15,0.02,0.02,0.00,0.08,-0.04,0.08,0.08,-0.1,0.00,0.0,0.02
