,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,3419.0,3166.0,3131.0,3403.0,3607.0,3575.0,3550.0,3701.0,4380.0,4197.0,4023.0,4011.0,4433.0
Expenses,2744.0,2554.0,2625.0,2850.0,3049.0,3036.0,3001.0,3200.0,3668.0,3379.0,3222.0,3322.0,3562.0
Operating Profit,675.0,612.0,505.0,554.0,558.0,539.0,550.0,501.0,712.0,818.0,801.0,689.0,871.0
OPM %,20.0,19.0,16.0,16.0,15.0,15.0,15.0,14.0,16.0,19.0,20.0,17.0,20.0
Other Income,73.0,83.0,64.0,61.0,54.0,54.0,54.0,56.0,53.0,428.0,60.0,57.0,52.0
Interest,30.0,32.0,24.0,34.0,39.0,37.0,34.0,42.0,54.0,38.0,35.0,53.0,53.0
Depreciation,48.0,49.0,53.0,49.0,50.0,50.0,51.0,51.0,52.0,58.0,65.0,71.0,72.0
Profit before tax,670.0,614.0,493.0,531.0,523.0,505.0,519.0,463.0,659.0,1149.0,761.0,622.0,799.0
Tax %,26.0,26.0,27.0,27.0,27.0,27.0,27.0,28.0,26.0,19.0,27.0,27.0,27.0
Net Profit,495.0,453.0,360.0,387.0,382.0,369.0,378.0,336.0,491.0,932.0,558.0,455.0,586.0
EPS in Rs,20.69,18.92,15.13,16.17,15.95,15.41,15.77,14.01,20.48,38.71,23.19,19.0,24.39
