,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085
Reserves,975,1337,1472,1839,2311,3034,3551,4240,5240,5823
Borrowings,2514,2624,2437,2259,3024,4257,5931,6643,6441,5981
Other Liabilities,10561,16169,2866,2101,4669,3019,2654,7097,4656,7043
Total Liabilities,16135,22216,8860,8284,12089,12395,14221,20066,18422,20932
Fixed Assets,6,6,8,249,279,305,292,380,355,338
CWIP,2,6,13,21,11,25,53,1,1,1
Investments,896,1024,1089,1231,1586,1588,1730,1810,1982,2073
Other Assets,15232,21180,7751,6783,10212,10476,12145,17875,16084,18520
Total Assets,16135,22216,8860,8284,12089,12395,14221,20066,18422,20932
