,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,12,12,12,12,12,12,12,12,12,12,12,12,12.0
Reserves,161,228,306,359,376,222,231,246,207,284,397,443,705.0
Preference Capital,0,20,42,61,61,0,288,299,310,244,244,244,
Borrowings,510,472,556,835,1074,1392,1242,1249,1091,908,786,858,708.0
Other Liabilities,60,86,123,203,196,186,480,604,608,585,584,663,373.0
Total Liabilities,743,798,997,1409,1658,1812,1964,2111,1918,1788,1779,1976,1798.0
Fixed Assets,442,437,452,448,1195,1220,1282,1297,1298,1225,1161,1148,1123.0
CWIP,70,89,167,620,5,5,9,103,1,0,31,4,10.0
Investments,1,1,1,1,1,56,56,44,24,54,49,39,55.0
Other Assets,231,272,377,341,458,532,618,667,595,509,538,785,611.0
Total Assets,743,798,997,1409,1658,1812,1964,2111,1918,1788,1779,1976,1798.0
