,2012-03-01,2013-09-01,2014-09-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,71,71,71,71,71,71,71,71,71,71,71,71
Reserves,48,-28,-139,-188,-218,-237,-255,-370,-418,-439,-453,-480
Borrowings,533,497,539,534,557,558,557,556,557,557,557,557
Other Liabilities,117,176,113,91,82,92,92,77,75,78,82,69
Total Liabilities,768,716,584,508,493,483,465,334,284,266,256,217
Fixed Assets,329,309,287,277,258,238,222,207,192,177,162,148
CWIP,11,0,0,0,0,0,0,0,0,0,0,0
Investments,0,32,27,27,27,27,27,26,26,26,26,26
Other Assets,429,375,270,204,208,218,216,101,67,64,68,43
Total Assets,768,716,584,508,493,483,465,334,284,266,256,217
