,2012-03-01,2013-09-01,2014-09-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,455.0,768.0,404.0,201.0,375.0,371.0,333.0,250.0,107.0,36.0,43.0,31.0
Expenses,432.0,703.0,423.0,240.0,381.0,373.0,338.0,261.0,127.0,41.0,43.0,48.0
Operating Profit,22.0,65.0,-19.0,-38.0,-6.0,-2.0,-5.0,-10.0,-20.0,-6.0,0.0,-17.0
OPM %,5.0,8.0,-5.0,-19.0,-2.0,-1.0,-2.0,-4.0,-19.0,-16.0,0.0,-55.0
Other Income,8.0,-10.0,-7.0,3.0,4.0,2.0,5.0,-88.0,-13.0,0.0,0.0,5.0
Interest,52.0,86.0,64.0,3.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Depreciation,23.0,33.0,22.0,9.0,19.0,18.0,17.0,16.0,15.0,15.0,15.0,14.0
Profit before tax,-45.0,-64.0,-112.0,-47.0,-30.0,-19.0,-18.0,-115.0,-48.0,-21.0,-15.0,-26.0
Tax %,30.0,-19.0,0.0,0.0,0.0,-0.0,0.0,0.0,-1.0,0.0,0.0,0.0
Net Profit,-31.0,-76.0,-112.0,-47.0,-30.0,-19.0,-18.0,-115.0,-49.0,-21.0,-15.0,-26.0
EPS in Rs,-4.45,-10.76,-15.82,-6.62,-4.24,-2.69,-2.55,-16.28,-6.89,-3.0,-2.07,-3.74
