,2022-09-01,2023-09-01
Sales,108.0,116.0
Expenses,99.0,105.0
Operating Profit,10.0,10.0
OPM %,9.0,9.0
Other Income,0.0,1.0
Interest,3.0,3.0
Depreciation,2.0,2.0
Profit before tax,6.0,6.0
Tax %,28.0,33.0
Net Profit,4.0,4.0
EPS in Rs,7.92,2.94
