,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.61,1.87,1.87,4.86,7.86,13.11
Reserves,0.08,3.03,3.04,0.05,5.2,0.04
Borrowings,1.95,0.0,0.0,0.42,1.13,0.19
Other Liabilities,0.71,0.31,5.44,4.84,0.8300000000000001,1.23
Total Liabilities,3.35,5.21,10.35,10.17,15.02,14.57
Fixed Assets,0.56,0.04,0.06,0.05,0.04,0.07
CWIP,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.12,0.0,0.0,0.0,0.12,0.16
Other Assets,2.67,5.17,10.29,10.12,14.86,14.34
Total Assets,3.35,5.21,10.35,10.17,15.02,14.57
