,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5,5,15,15,15,15,15,15,15
Reserves,249,323,380,485,604,716,944,1526,1698
Borrowings,102,40,54,128,125,89,59,29,14
Other Liabilities,63,76,81,74,108,127,219,237,136
Total Liabilities,419,445,530,702,852,948,1236,1807,1863
Fixed Assets,125,97,88,78,217,196,229,214,249
CWIP,6,3,32,106,6,26,14,40,19
Investments,0,11,11,10,33,31,31,39,37
Other Assets,289,334,399,508,597,694,962,1513,1557
Total Assets,419,445,530,702,852,948,1236,1807,1863
