,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4.53,4.53,4.53,4.53,4.53,4.53
Reserves,5.69,31.05,31.62,34.54,37.87,39.79
Borrowings,4.83,0.48,2.91,8.67,12.42,9.0
Other Liabilities,56.59,48.23,25.16,32.72,67.28,50.72
Total Liabilities,71.64,84.29,64.22,80.46,122.1,104.04
Fixed Assets,0.07,0.06,0.05,0.04,0.08,0.06
CWIP,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,71.57,84.23,64.17,80.42,122.02,103.98
Total Assets,71.64,84.29,64.22,80.46,122.1,104.04
