,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,33.04,44.33,2.98,24.52,46.49,53.91
Expenses,33.9,20.18,2.26,21.36,42.88,50.75
Operating Profit,-0.86,24.15,0.72,3.16,3.61,3.16
OPM %,-2.6,54.48,24.16,12.89,7.77,5.86
Other Income,1.99,0.5,0.02,0.07,0.0,0.01
Interest,1.55,0.19,0.07,0.32,0.55,0.64
Depreciation,0.02,0.02,0.01,0.01,0.01,0.02
Profit before tax,-0.44,24.44,0.66,2.9,3.05,2.51
Tax %,131.82,-3.27,6.06,3.45,6.23,
Net Profit,0.14,25.24,0.62,2.8,2.87,2.59
EPS in Rs,0.04,7.21,0.18,0.8,0.82,0.75
