,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,33.13,33.13,33.13,33.13,33.13,32.25,32.25
Reserves,49.18,51.76,53.92,55.66,58.19,63.8,67.13
Preference Capital,4.08,4.08,4.08,4.08,4.08,4.08,
Borrowings,6.05,0.11,0.11,0.11,0.11,0.11,0.11
Other Liabilities,31.91,36.91,38.66,40.25,29.16,30.13,35.04
Total Liabilities,120.27,121.91,125.82,129.15,120.59,126.29,138.61
Fixed Assets,2.43,2.65,2.63,2.62,2.61,2.6,2.59
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.55,0.55,0.55,0.55,0.55,0.55,0.55
Other Assets,117.29,118.71,122.64,125.98,117.43,123.14,135.47
Total Assets,120.27,121.91,125.82,129.15,120.59,126.29,138.61
