,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-09-01
Sales,191.0,145.0,147.0,118.0,210.0,161.0,142.0,161.0,154.0
Expenses,181.0,135.0,139.0,110.0,203.0,152.0,135.0,152.0,144.0
Operating Profit,10.0,10.0,8.0,8.0,7.0,9.0,7.0,9.0,10.0
OPM %,5.0,7.0,5.0,7.0,3.0,6.0,5.0,6.0,6.0
Other Income,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0
Interest,7.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0
Depreciation,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Profit before tax,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
Tax %,2.0,34.0,-18.0,26.0,58.0,30.0,42.0,30.0,-0.0
Net Profit,3.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,2.0
EPS in Rs,4.08,1.7,1.99,1.07,0.49,1.87,1.12,1.87,2.97
