,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,150.0,179.0,205.0,233.0,230.0,235.0,268.0,376.0,291.0,327.0,302.0,303.0
Expenses,140.0,168.0,192.0,218.0,214.0,219.0,252.0,357.0,273.0,312.0,286.0,285.0
Operating Profit,9.0,11.0,13.0,16.0,16.0,16.0,16.0,19.0,17.0,15.0,17.0,17.0
OPM %,6.0,6.0,7.0,7.0,7.0,7.0,6.0,5.0,6.0,5.0,6.0,6.0
Other Income,-0.0,-0.0,-0.0,-0.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0
Interest,5.0,6.0,8.0,9.0,11.0,10.0,9.0,12.0,11.0,11.0,12.0,12.0
Depreciation,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0
Profit before tax,3.0,3.0,4.0,4.0,4.0,4.0,5.0,6.0,4.0,2.0,4.0,5.0
Tax %,35.0,34.0,36.0,33.0,34.0,35.0,35.0,14.0,14.0,40.0,36.0,29.0
Net Profit,2.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,3.0,1.0,2.0,3.0
EPS in Rs,3.41,4.35,3.85,4.25,4.47,3.23,3.79,6.01,3.69,1.58,2.99,4.1
