,Mar 2022,Mar 2023,TTM
Sales,174.9,119.83,97.91
Expenses,100.65,100.66,79.05
Operating Profit,74.25,19.17,18.86
OPM %,42.45,16.0,19.26
Other Income,1.1,0.6,1.00
Interest,0.84,0.83,1.40
Depreciation,3.04,4.13,4.97
Profit before tax,71.47,14.81,13.49
Tax %,30.01,30.65,
Net Profit,50.03,10.27,9.37
EPS in Rs,24.64,5.06,4.60
