,2022-03-01,2023-03-01
Debtor Days,87.65,103.78
Inventory Days,532.8,656.42
Days Payable,33.62,65.96
Cash Conversion Cycle,586.83,694.24
Working Capital Days,342.84,510.84
ROCE %,,6.13
