,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,31.73,50.43,52.14,40.6,37.12,34.26,26.51,22.42,17.59,31.39
Expenses,11.9,27.54,32.57,28.65,31.45,30.52,21.96,16.64,13.9,26.55
Operating Profit,19.83,22.89,19.57,11.95,5.67,3.74,4.55,5.78,3.69,4.84
OPM %,62.5,45.39,37.53,29.43,15.27,10.92,17.16,25.78,20.98,15.42
Other Income,0.6,0.47,0.61,-0.57,0.1,0.13,0.16,-0.05,0.14,0.75
Interest,0.27,0.17,0.08,0.32,0.36,0.25,0.16,0.05,0.45,0.74
Depreciation,0.68,0.76,0.76,0.84,0.95,0.99,1.06,1.42,1.22,1.27
Profit before tax,19.48,22.43,19.34,10.22,4.46,2.63,3.49,4.26,2.16,3.58
Tax %,26.8,31.12,32.26,29.94,29.37,15.97,40.11,32.86,29.63,18.72
Net Profit,14.26,15.45,13.1,7.17,3.15,2.21,2.08,2.85,1.53,2.91
EPS in Rs,7.02,7.61,6.45,3.53,1.55,1.09,1.02,1.4,0.75,1.43
