,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,6.26,7.51,9.66,11.4,25.25,17.61,17.78,32.78,34.91,28.56,34.5,37.73,25.21
Expenses,6.03,7.14,9.72,11.5,23.52,15.54,15.05,30.07,32.29,26.78,32.67,37.01,23.05
Operating Profit,0.23,0.37,-0.06,-0.1,1.73,2.07,2.73,2.71,2.62,1.78,1.83,0.72,2.16
OPM %,3.67,4.93,-0.62,-0.88,6.85,11.75,15.35,8.27,7.51,6.23,5.3,1.91,8.57
Other Income,0.1,0.05,0.11,0.13,0.03,0.03,0.25,0.88,0.29,0.12,0.98,1.92,0.00
Interest,0.23,0.38,0.0,0.0,1.2,1.05,1.36,1.54,1.69,1.52,1.98,1.5,1.33
Depreciation,0.0,0.0,0.0,0.0,0.33,0.3,0.28,0.44,0.3,0.21,0.17,0.15,0.13
Profit before tax,0.1,0.04,0.05,0.03,0.23,0.75,1.34,1.61,0.92,0.17,0.66,0.99,0.70
Tax %,0.0,0.0,0.0,0.0,30.43,32.0,32.09,26.09,27.17,47.06,25.76,28.28,
Net Profit,0.1,0.04,0.05,0.03,0.16,0.51,0.9,1.19,0.68,0.09,0.5,0.71,0.48
EPS in Rs,2.22,0.89,1.11,0.67,2.91,9.27,16.36,1.8,1.03,0.14,0.76,1.08,0.73
