,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,10.71,24.2,6.59,22.08,11.16,24.29,19.58,20.07,5.14
Expenses,9.4,22.88,5.8,20.98,9.95,22.72,18.23,18.78,4.27
Operating Profit,1.31,1.32,0.79,1.1,1.21,1.57,1.35,1.29,0.87
OPM %,12.23,5.45,11.99,4.98,10.84,6.46,6.89,6.43,16.93
Other Income,0.09,0.2,0.01,0.0,0.03,0.0,0.0,0.0,0.0
Interest,0.79,0.91,0.59,0.93,1.06,0.92,0.83,0.67,0.66
Depreciation,0.15,0.15,0.13,0.08,0.08,0.09,0.07,0.08,0.05
Profit before tax,0.46,0.46,0.08,0.09,0.1,0.56,0.45,0.54,0.16
Tax %,26.09,28.26,25.0,66.67,10.0,26.79,20.0,33.33,25.0
Net Profit,0.35,0.33,0.05,0.04,0.08,0.41,0.35,0.36,0.12
EPS in Rs,0.53,0.5,0.08,0.06,0.12,0.62,0.53,0.55,0.18
