,2021-03-01,2022-03-01,2023-03-01
Debtor Days,141.0,119,90
Inventory Days,,,
Days Payable,,,
Cash Conversion Cycle,141.0,119,90
Working Capital Days,132.0,102,53
ROCE %,,11,52
