,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2.8,3.38,3.92,2.85,4.88,3.23,4.07,5.19,6.51,6.31,2.07,9.84,8.62
Expenses,2.49,2.71,4.03,2.46,4.05,2.76,3.18,3.31,3.99,4.14,2.64,5.17,5.61
Operating Profit,0.31,0.67,-0.11,0.39,0.83,0.47,0.89,1.88,2.52,2.17,-0.57,4.67,3.01
OPM %,11.07,19.82,-2.81,13.68,17.01,14.55,21.87,36.22,38.71,34.39,-27.54,47.46,34.92
Other Income,0.08,0.05,0.01,-0.15,0.4,0.01,0.07,0.07,0.06,0.09,0.41,0.02,0.14
Interest,0.0,0.0,0.0,0.06,0.11,0.12,0.19,0.34,0.3,0.3,0.28,0.57,0.56
Depreciation,0.25,0.22,0.19,0.23,0.51,0.47,0.57,0.97,1.02,1.07,1.03,1.15,1.48
Profit before tax,0.14,0.5,-0.29,-0.05,0.61,-0.11,0.2,0.64,1.26,0.89,-1.47,2.97,1.11
Tax %,7.14,16.0,6.9,0.0,14.75,0.0,15.0,23.44,24.6,26.97,12.93,14.14,
Net Profit,0.13,0.42,-0.27,-0.06,0.52,-0.12,0.17,0.5,0.95,0.65,-1.28,2.55,1.15
EPS in Rs,0.28,0.91,-0.59,-0.13,1.13,-0.26,0.37,1.09,2.07,1.41,-2.78,5.54,2.50
