,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,12.03,10.97,12.21,16.21,15.94,19.32,23.09,27.22,20.17,11.72,21.87,25.89,23.01
Expenses,11.52,10.77,11.74,15.79,15.48,18.96,23.86,29.98,21.99,12.91,21.32,25.71,23.97
Operating Profit,0.51,0.2,0.47,0.42,0.46,0.36,-0.77,-2.76,-1.82,-1.19,0.55,0.18,-0.96
OPM %,4.24,1.82,3.85,2.59,2.89,1.86,-3.33,-10.14,-9.02,-10.15,2.51,0.7,-4.17
Other Income,2.12,1.86,0.58,0.23,0.2,0.75,0.62,0.75,0.08,0.11,0.69,1.05,1.65
Interest,0.0,0.0,0.0,0.04,0.37,0.56,0.67,0.66,0.57,0.55,0.61,0.65,0.56
Depreciation,0.09,0.1,0.13,0.2,0.27,0.47,0.77,0.93,0.99,0.58,0.55,0.56,0.56
Profit before tax,2.54,1.96,0.92,0.41,0.02,0.08,-1.59,-3.6,-3.3,-2.21,0.08,0.02,-0.43
Tax %,0.79,-1.02,2.17,39.02,350.0,75.0,-1.89,-0.28,-0.3,3.17,-62.5,-150.0,
Net Profit,2.52,1.97,0.9,0.25,-0.04,0.02,-1.62,-3.61,-3.31,-2.14,0.12,0.06,-0.40
EPS in Rs,4.55,3.56,1.63,0.26,-0.04,0.02,-1.44,-2.31,-2.0,-1.29,0.07,0.04,-0.25
