,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
Reserves,0.3,0.49,0.73,0.65,-0.6000000000000001,-0.6000000000000001,-0.59,-0.5700000000000001,-0.64,-0.75,-0.81,-0.8
Borrowings,0.35,0.58,0.43,0.49,0.44,0.49,0.23,0.25,0.0,0.0,0.0,0.0
Other Liabilities,0.79,0.62,0.64,0.49,0.36,0.41,0.39,0.29,0.33,0.06,0.07,0.09
Total Liabilities,6.84,7.09,7.2,7.03,5.6,5.7,5.43,5.37,5.09,4.71,4.66,4.69
Fixed Assets,3.11,2.8200000000000003,2.64,2.15,0.98,1.26,0.99,0.84,0.0,0.0,0.0,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.02,0.27,0.27,0.49,0.49,0.44,0.94,0.94,0.94,0.94,0.44,0.44
Other Assets,3.71,4.0,4.29,4.39,4.13,4.0,3.5,3.59,4.15,3.77,4.22,4.25
Total Assets,6.84,7.09,7.2,7.03,5.6,5.7,5.43,5.37,5.09,4.71,4.66,4.69
