,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,1.47,4.38,-3.72,5.26,9.93,-5.24
Cash from Investing Activity,-6.8,-2.14,-0.47,-1.04,-7.22,0.49
Cash from Financing Activity,6.82,-1.62,3.4,-4.5600000000000005,1.12,1.29
Net Cash Flow,1.49,0.63,-0.79,-0.34,3.82,-3.46
