,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5.43,5.43,5.73,5.73,11.46,14.9,14.9
Reserves,8.63,9.79,9.46,11.5,10.1,15.16,15.82
Borrowings,5.15,4.08,9.62,8.45,6.73,6.36,10.52
Other Liabilities,5.63,6.72,8.36,8.97,24.59,18.11,14.8
Total Liabilities,24.84,26.02,33.17,34.65,52.88,54.53,56.04
Fixed Assets,13.67,14.68,15.02,15.38,15.1,16.45,19.02
CWIP,0.0,0.0,0.0,0.0,0.0,0.91,0.0
Investments,0.15,0.86,2.96,3.78,6.95,1.05,2.47
Other Assets,11.02,10.48,15.19,15.49,30.83,36.12,34.55
Total Assets,24.84,26.02,33.17,34.65,52.88,54.53,56.04
