,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,5.94,5.98,5.83,16.67,6.65,4.54
Expenses,5.02,4.36,5.11,7.45,6.05,3.92
Operating Profit,0.92,1.62,0.72,9.22,0.6,0.62
OPM %,15.49,27.09,12.35,55.31,9.02,13.66
Other Income,0.4,0.51,0.45,0.42,0.78,0.51
Interest,0.17,0.42,0.18,0.16,0.16,0.3
Depreciation,0.25,0.24,0.25,0.23,0.23,0.24
Profit before tax,0.9,1.47,0.74,9.25,0.99,0.59
Tax %,17.78,28.57,41.89,20.76,26.26,30.51
Net Profit,0.74,1.05,0.42,7.33,0.75,0.42
EPS in Rs,0.04,0.07,0.02,0.5,0.04,0.02
