,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,16.52,18.99,16.8,15.89,21.56,35.88,33.69
Expenses,13.34,15.65,13.65,11.78,16.22,21.39,22.53
Operating Profit,3.18,3.34,3.15,4.11,5.34,14.49,11.16
OPM %,19.25,17.59,18.75,25.87,24.77,40.38,33.13
Other Income,0.04,0.21,0.06,0.27,0.05,-0.44,2.16
Interest,0.5,0.54,0.83,0.6,0.56,0.71,0.80
Depreciation,0.79,0.98,0.69,0.93,1.06,0.98,0.95
Profit before tax,1.93,2.03,1.69,2.85,3.77,12.36,11.57
Tax %,29.53,30.05,27.81,16.14,28.65,21.12,
Net Profit,1.35,1.41,1.21,2.4,4.53,9.75,8.92
EPS in Rs,0.08,0.08,0.06,0.14,0.28,0.64,0.58
