,2018-01-01,2021-03-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,14.59,26.72,23.06,33.16,25.59,34.87,34.72,29.88,27.16,36.34
Expenses,14.44,26.9,21.56,30.77,24.16,32.89,29.94,24.9,25.72,34.27
Operating Profit,0.15,-0.18,1.5,2.39,1.43,1.98,4.78,4.98,1.44,2.07
OPM %,1.03,-0.67,6.5,7.21,5.59,5.68,13.77,16.67,5.3,5.7
Other Income,0.0,0.16,0.04,0.21,0.01,0.01,0.01,0.68,0.2,0.08
Interest,0.0,0.16,0.2,0.15,0.16,0.31,0.2,0.18,0.16,0.19
Depreciation,0.0,0.01,0.03,0.05,0.06,0.07,0.07,0.07,0.06,0.06
Profit before tax,0.15,-0.19,1.31,2.4,1.22,1.61,4.52,5.41,1.42,1.9
Tax %,26.67,31.58,25.19,30.42,29.51,27.95,27.88,30.87,28.87,28.95
Net Profit,0.11,-0.13,0.99,1.66,0.87,1.16,3.27,3.73,1.0,1.35
EPS in Rs,0.01,-0.01,0.05,0.08,0.04,0.06,0.16,0.11,0.03,0.04
