,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.05,3.05,3.05,3.05,9.04,9.04,9.04,29.04,30.14,30.14
Reserves,0.1,0.2,1.14,2.27,4.89,5.87,7.12,8.82,13.29,15.05
Borrowings,0.0,0.0,0.0,0.8300000000000001,0.94,2.59,2.68,4.85,6.24,9.25
Other Liabilities,0.04,0.08,0.52,1.17,1.22,2.09,3.8,3.14,3.19,2.81
Total Liabilities,3.19,3.33,4.71,7.32,16.09,19.59,22.64,45.85,52.86,57.25
Fixed Assets,0.0,0.02,0.03,0.04,0.08,0.08,0.05,0.28,0.26,0.27
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.47,0.05
Other Assets,3.18,3.31,4.68,7.28,16.01,19.51,22.59,45.27,52.13,56.93
Total Assets,3.19,3.33,4.71,7.32,16.09,19.59,22.64,45.85,52.86,57.25
