,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.89,0.77,1.73,4.38,6.7,7.83,5.45,8.47,11.52,12.94
Expenses,0.75,0.61,1.44,3.51,4.91,5.75,3.03,4.53,5.89,6.29
Operating Profit,0.14,0.16,0.29,0.87,1.79,2.08,2.42,3.94,5.63,6.65
OPM %,15.73,20.78,16.76,19.86,26.72,26.56,44.4,46.52,48.87,51.39
Other Income,0.0,0.0,0.0,0.01,0.02,0.04,-0.02,0.0,-0.05,-0.05
Interest,0.0,0.0,0.0,0.1,0.16,0.45,0.47,0.55,0.9,0.94
Depreciation,0.0,0.0,0.01,0.02,0.03,0.03,0.03,0.04,0.03,0.03
Profit before tax,0.14,0.16,0.28,0.76,1.62,1.64,1.9,3.35,4.65,5.63
Tax %,28.57,31.25,28.57,26.32,27.78,21.34,26.32,25.97,25.59,
Net Profit,0.09,0.1,0.19,0.56,1.18,1.29,1.39,2.48,3.45,4.18
EPS in Rs,0.03,0.03,0.07,0.19,0.41,0.44,0.48,0.85,1.14,1.39
