,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5.45,5.45,5.45,5.45,7.85,7.85
Reserves,1.73,2.39,3.79,5.54,14.58,15.7
Borrowings,11.28,17.48,26.48,30.17,32.13,29.61
Other Liabilities,8.5,3.71,7.47,18.06,17.85,20.11
Total Liabilities,26.96,29.03,43.19,59.22,72.41,73.27
Fixed Assets,6.98,8.22,14.27,15.07,15.75,13.9
CWIP,0.0,0.0,0.0,0.0,0.0,0.0
Investments,1.08,1.08,1.08,1.08,1.08,1.08
Other Assets,18.9,19.73,27.84,43.07,55.58,58.29
Total Assets,26.96,29.03,43.19,59.22,72.41,73.27
