,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,34.11,40.98,40.61,53.18,64.05,61.64
Expenses,31.73,36.32,34.88,45.41,53.06,50.78
Operating Profit,2.38,4.66,5.73,7.77,10.99,10.86
OPM %,6.98,11.37,14.11,14.61,17.16,17.62
Other Income,0.02,0.16,0.16,0.71,0.17,0.15
Interest,0.68,1.35,1.54,1.94,2.52,2.65
Depreciation,0.87,2.58,2.43,4.11,4.97,4.67
Profit before tax,0.85,0.89,1.92,2.43,3.67,3.69
Tax %,24.71,25.84,27.6,27.98,25.61,
Net Profit,0.64,0.66,1.38,1.75,2.73,2.85
EPS in Rs,1.17,1.21,2.53,3.21,3.48,3.63
