,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.00,1.09,2.36,0.00,0.0,0.00,0.00,0.0,0.28
Expenses,0.52,0.76,1.82,3.21,0.96,0.8,0.71,0.81,1.22,1.32
Operating Profit,-0.52,-0.76,-0.73,-0.85,-0.96,-0.8,-0.71,-0.81,-1.22,-1.04
OPM %,,,-66.97,-36.02,,3.61,,,-29.79,-371.43
Other Income,0.98,1.71,1.3,1.58,1.10,0.81,0.42,0.97,0.79,0.27
Interest,0.27,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.0,0.00
Depreciation,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.06
Profit before tax,0.15,0.93,0.55,0.71,0.12,-0.01,-0.31,0.15,-0.45,-0.83
Tax %,133.33,31.18,23.64,30.99,0.00,0.0,3.23,53.33,-8.89,
Net Profit,-0.05,0.64,0.43,0.5,0.12,0.0,-0.30,0.07,-0.49,-0.83
EPS in Rs,-0.03,0.38,0.26,0.11,0.05,0.0,-0.18,0.04,-0.29,-0.50
