,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,59.17,67.35,52.67,54.97,47.73,44.48,47.34,54.78,48.45,49.13,54.92,48.87,51.77
Expenses,53.24,61.21,48.28,50.6,44.58,41.69,44.68,51.74,45.9,44.44,50.57,43.74,46.41
Operating Profit,5.93,6.14,4.39,4.37,3.15,2.79,2.66,3.04,2.55,4.69,4.35,5.13,5.36
OPM %,10.02,9.12,8.33,7.95,6.6,6.27,5.62,5.55,5.26,9.55,7.92,10.5,10.35
Other Income,-0.07,0.26,0.38,0.82,0.19,0.32,0.24,0.26,0.61,0.53,0.98,2.04,6.21
Interest,1.48,1.9,1.12,1.35,1.01,0.8,0.93,0.91,0.78,0.57,0.59,0.58,0.47
Depreciation,0.79,1.32,1.34,1.74,1.6,1.61,1.62,1.68,1.61,1.21,1.0,1.06,1.07
Profit before tax,3.59,3.18,2.31,2.1,0.73,0.7,0.35,0.71,0.77,3.44,3.74,5.53,10.03
Tax %,4.74,11.95,38.53,24.29,32.88,28.57,42.86,54.93,59.74,29.94,26.2,37.79,
Net Profit,3.42,2.8,1.42,1.59,0.5,0.51,0.2,0.32,0.31,2.4,2.76,3.44,6.44
EPS in Rs,30.63,25.08,12.72,14.24,4.48,4.57,1.7,2.73,2.64,20.44,23.51,29.3,54.86
