,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,14.02,13.12,13.99,11.75,14.93,16.59,11.98,11.48,10.26,13.56,13.95,12.5,11.76
Expenses,13.12,10.83,13.24,11.32,13.57,14.9,11.16,10.74,9.32,12.12,11.94,11.92,10.43
Operating Profit,0.9,2.29,0.75,0.43,1.36,1.69,0.82,0.74,0.94,1.44,2.01,0.58,1.33
OPM %,6.42,17.45,5.36,3.66,9.11,10.19,6.84,6.45,9.16,10.62,14.41,4.64,11.31
Other Income,0.11,0.3,0.0,0.42,0.2,0.19,0.22,0.16,1.4,0.56,-0.07,2.57,3.15
Interest,0.3,0.19,0.02,0.14,0.24,0.11,0.1,0.14,0.21,0.18,0.06,0.08,0.15
Depreciation,0.31,0.31,0.3,0.25,0.25,0.25,0.25,0.25,0.27,0.27,0.27,0.26,0.27
Profit before tax,0.4,2.09,0.43,0.46,1.07,1.52,0.69,0.51,1.86,1.55,1.61,2.81,4.06
Tax %,65.0,15.31,79.07,15.22,28.97,26.97,27.54,35.29,10.22,14.19,80.75,30.6,29.8
Net Profit,0.14,1.77,0.09,0.39,0.76,1.11,0.5,0.33,1.67,1.33,0.31,1.95,2.85
EPS in Rs,1.19,15.08,0.77,3.32,6.47,9.46,4.26,2.81,14.23,11.33,2.64,16.61,24.28
