,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,67.73,67.73,67.78,67.78,67.78,67.78,55.84,55.84
FIIs,20.86,14.45,11.72,12.25,13.1,16.4,24.38,27.68
DIIs,6.2,12.35,15.82,15.55,14.51,12.23,15.13,11.66
Public,5.21,5.46,4.68,4.42,4.61,3.59,4.66,4.82
No. of Shareholders,29857.0,33005.0,30012.0,28475.0,31831.0,49097.0,69589.0,88418.0
