,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,24.42,30.19,26.17,24.26,25.55,23.22,21.85,25.33,25.04,37.85,48.2,41.51,41.92
Expenses,21.96,28.52,24.46,22.52,23.7,21.56,20.88,24.74,23.62,35.98,45.4,39.36,39.40
Operating Profit,2.46,1.67,1.71,1.74,1.85,1.66,0.97,0.59,1.42,1.87,2.8,2.15,2.52
OPM %,10.07,5.53,6.53,7.17,7.24,7.15,4.44,2.33,5.67,4.94,5.81,5.18,6.01
Other Income,0.05,0.05,0.04,0.08,0.2,0.31,0.07,0.36,0.36,0.43,0.67,0.42,0.00
Interest,0.57,0.65,0.62,0.72,0.8,0.61,0.57,0.75,0.87,0.75,0.95,1.03,1.10
Depreciation,0.8,0.76,1.0,1.02,1.2,1.3,0.97,1.31,1.32,1.24,1.5,1.39,1.33
Profit before tax,1.14,0.31,0.13,0.08,0.05,0.06,-0.5,-1.11,-0.41,0.31,1.02,0.15,0.09
Tax %,32.46,6.45,23.08,37.5,200.0,33.33,38.0,25.23,-9.76,67.74,24.51,33.33,
Net Profit,0.76,0.28,0.09,0.05,-0.05,0.04,-0.31,-0.83,-0.45,0.1,0.77,0.1,0.08
EPS in Rs,1.52,0.56,0.18,0.1,-0.1,0.08,-0.62,-1.66,-0.9,0.2,1.54,0.2,0.16
