,2021-03-01,2022-03-01,2023-03-01
Sales,3.9,4.01,9.17
Expenses,3.24,3.8,5.12
Operating Profit,0.66,0.21,4.05
OPM %,16.92,5.24,44.17
Other Income,-0.14,0.02,-0.02
Interest,0.31,0.19,0.61
Depreciation,0.72,-0.41,0.8
Profit before tax,-0.51,0.45,2.62
Tax %,-19.61,31.11,28.24
Net Profit,-0.62,0.3,1.88
EPS in Rs,-3.1,1.5,4.7
