,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,40.46,40.46,40.46,40.67,40.67,40.67,40.67,40.67
FIIs,2.7,1.63,1.1,1.85,1.95,2.21,1.95,1.95
DIIs,0.62,0.51,0.06,0.05,0.05,0.05,0.05,0.05
Government,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01
Public,51.73,52.91,53.89,57.41,57.32,57.06,57.31,57.31
Others,4.47,4.47,4.47,0.0,0.0,0.0,0.0,0.0
No. of Shareholders,28300.0,26049.0,24516.0,22762.0,24416.0,27837.0,26427.0,23811.0
