,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,37.64,43.57,44.53,45.57,34.25,67.36,57.83,34.33,34.57,105.51,51.20,10.66
Inventory Days,,,,,,0.00,,0.00,,0.00,0.00,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,37.64,43.57,44.53,45.57,34.25,67.36,57.83,34.33,34.57,105.51,51.20,10.66
Working Capital Days,17.92,31.93,31.07,44.01,19.56,102.46,89.25,102.26,133.82,249.82,100.40,134.10
ROCE %,51.38,47.24,51.04,48.70,3.32,-14.85,-21.82,-21.28,-27.01,-30.89,-22.55,-24.36
