,2023-06-01
Depreciation,3.0
EPS in Rs,3.66
Expenses,202.0
Interest,5.0
Net Profit,18.0
OPM %,13.0
Operating Profit,31.0
Other Income,1.0
Profit before tax,25.0
Sales,233.0
Tax %,28.0
