,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,92.0,71,68,66,114,75,64
Inventory Days,23.0,28,29,46,49,51,63
Days Payable,75.0,49,45,40,90,80,78
Cash Conversion Cycle,40.0,51,52,72,73,46,50
Working Capital Days,42.0,52,53,69,75,53,71
ROCE %,,16,20,12,15,19,15
