,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,55.0,88.0,139.0,148.0,193.0,357.0,461.0,498
Expenses,55.0,87.0,135.0,143.0,186.0,346.0,446.0,481
Operating Profit,1.0,1.0,4.0,5.0,7.0,11.0,15.0,16
OPM %,1.0,1.0,3.0,3.0,4.0,3.0,3.0,3
Other Income,0.0,2.0,1.0,0.0,0.0,0.0,1.0,3
Interest,0.0,1.0,2.0,3.0,3.0,3.0,5.0,6
Depreciation,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
Profit before tax,0.0,1.0,3.0,2.0,4.0,7.0,10.0,11
Tax %,40.0,24.0,28.0,26.0,25.0,26.0,26.0,
Net Profit,0.0,1.0,2.0,1.0,3.0,5.0,7.0,8
EPS in Rs,0.74,1.57,2.46,1.34,2.8,5.39,2.93,3.50
