,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,9.02,10.01,14.87,12.83,7.73,7.02
Expenses,8.9,9.12,10.07,6.91,7.25,7.48
Operating Profit,0.12,0.89,4.8,5.92,0.48,-0.46
OPM %,1.33,8.89,32.28,46.14,6.21,-6.55
Other Income,0.02,0.01,0.02,0.39,0.17,1.05
Interest,0.06,0.1,0.3,0.04,0.03,0.02
Depreciation,0.02,0.01,0.01,0.0,0.1,0.10
Profit before tax,0.06,0.79,4.51,6.27,0.52,0.47
Tax %,16.67,25.32,29.27,25.36,32.69,
Net Profit,0.04,0.58,3.19,4.68,0.35,0.35
EPS in Rs,15.69,227.45,21.57,23.23,1.74,1.74
