,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,7.96,6.73,6.09,3.89,3.84,3.18
Expenses,6.25,3.84,3.1,3.56,3.84,3.64
Operating Profit,1.71,2.89,2.99,0.33,0.0,-0.46
OPM %,21.48,42.94,49.1,8.48,0.0,-14.47
Other Income,0.0,0.05,0.34,0.19,0.11,0.94
Interest,0.13,0.0,0.0,0.0,0.01,0.01
Depreciation,0.0,0.0,0.0,0.05,0.06,0.04
Profit before tax,1.58,2.94,3.33,0.47,0.04,0.43
Tax %,25.32,25.17,25.23,25.53,125.0,16.28
Net Profit,1.18,2.2,2.48,0.35,0.0,0.35
EPS in Rs,7.98,14.87,12.31,1.74,0.0,1.74
