,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,31.8,36.78,41.77,46.73,51.66,56.63,61.51,66.1
Public,68.2,63.22,58.23,53.27,48.34,43.37,38.49,33.9
No. of Shareholders,1979.0,2131.0,2029.0,1939.0,1863.0,2392.0,4314.0,6890.0
