,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,8,8,8,39,39,40,40,40,40
Reserves,91,108,150,189,282,488,674,776,805
Borrowings,96,84,76,50,43,52,91,93,88
Other Liabilities,130,120,217,282,261,263,302,250,443
Total Liabilities,325,321,450,560,625,843,1108,1159,1376
Fixed Assets,37,38,46,51,95,133,193,186,196
CWIP,0,0,1,16,38,10,14,42,55
Investments,0,0,0,0,4,10,2,1,1
Other Assets,287,282,403,493,488,690,898,930,1125
Total Assets,325,321,450,560,625,843,1108,1159,1376
