,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,514.0,582.0,741.0,1004.0,951.0,1219.0,1450.0,1324.0,1251
Expenses,470.0,534.0,653.0,873.0,822.0,997.0,1190.0,1163.0,1154
Operating Profit,44.0,48.0,88.0,131.0,129.0,221.0,260.0,161.0,97
OPM %,9.0,8.0,12.0,13.0,14.0,18.0,18.0,12.0,8
Other Income,1.0,2.0,5.0,7.0,17.0,7.0,19.0,14.0,18
Interest,13.0,12.0,12.0,11.0,9.0,5.0,4.0,8.0,10
Depreciation,4.0,4.0,5.0,6.0,8.0,15.0,20.0,23.0,23
Profit before tax,28.0,35.0,76.0,122.0,129.0,208.0,255.0,144.0,83
Tax %,39.0,41.0,39.0,38.0,24.0,26.0,26.0,24.0,
Net Profit,17.0,20.0,47.0,75.0,98.0,154.0,189.0,110.0,63
EPS in Rs,21.61,26.01,60.02,19.31,25.0,38.54,47.25,27.52,15.68
