,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,74.15,74.77,74.9,74.95
FIIs,3.85,2.62,0.0,0.0
DIIs,4.8,1.57,1.21,0.29
Public,17.19,21.03,23.89,24.76
No. of Shareholders,110826.0,92029.0,94596.0,89895.0
