,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2.95,4.92,8.47,8.04,8.4,10.59,10.94,17.8,20.22,17.51,20.18,22.33,26.10
Expenses,2.79,4.51,7.84,7.25,7.46,8.97,9.08,15.07,18.77,15.97,18.77,23.93,28.43
Operating Profit,0.16,0.41,0.63,0.79,0.94,1.62,1.86,2.73,1.45,1.54,1.41,-1.6,-2.33
OPM %,5.42,8.33,7.44,9.83,11.19,15.3,17.0,15.34,7.17,8.79,6.99,-7.17,-8.93
Other Income,0.0,0.01,0.02,0.03,0.01,0.08,0.01,0.03,0.09,0.1,0.13,-4.38,-3.40
Interest,0.03,0.14,0.32,0.34,0.42,0.41,0.31,0.33,0.49,0.36,0.51,0.56,0.57
Depreciation,0.02,0.12,0.16,0.32,0.27,0.3,0.45,0.77,0.64,1.07,1.01,0.96,0.84
Profit before tax,0.11,0.16,0.17,0.16,0.26,0.99,1.11,1.66,0.41,0.21,0.02,-7.5,-7.14
Tax %,27.27,68.75,94.12,12.5,26.92,32.32,27.93,27.71,29.27,28.57,0.0,-3.73,
Net Profit,0.07,0.05,0.01,0.15,0.19,0.66,0.81,1.2,0.29,0.16,0.02,-7.79,-7.44
EPS in Rs,7.0,2.5,0.5,7.5,9.5,33.0,0.86,1.28,0.31,0.17,0.02,-8.33,-7.96
