,2020-03-01,2020-09-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,12.51,7.04,9.59,10.6,9.76,12.58,13.52
Expenses,12.12,7.04,9.16,9.61,11.21,12.72,15.71
Operating Profit,0.39,0.0,0.43,0.99,-1.45,-0.14,-2.19
OPM %,3.12,0.0,4.48,9.34,-14.86,-1.11,-16.2
Other Income,0.09,0.0,0.0,0.13,-0.91,-3.48,0.08
Interest,0.27,0.06,0.24,0.28,0.28,0.28,0.29
Depreciation,0.27,0.42,0.5,0.51,0.48,0.48,0.36
Profit before tax,-0.06,-0.48,-0.31,0.33,-3.12,-4.38,-2.76
Tax %,0.0,-4.17,3.23,3.03,0.96,-7.08,0.72
Net Profit,-0.06,-0.5,-0.3,0.32,-3.09,-4.7,-2.74
EPS in Rs,-0.06,-0.53,-0.32,0.34,-3.29,-5.03,-2.93
