,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.97,3.58,6.33,16.24,28.56,437.4,43.42,19.29,22.31,11.23,8.89
Expenses,1.62,2.7,4.38,10.1,22.18,427.08,33.85,15.39,19.15,7.27,5.49
Operating Profit,0.35,0.88,1.95,6.14,6.38,10.32,9.57,3.9,3.16,3.96,3.40
OPM %,17.77,24.58,30.81,37.81,22.34,2.36,22.04,20.22,14.16,35.26,38.25
Other Income,0.16,0.17,0.15,0.25,0.63,0.22,1.26,2.69,4.55,4.12,5.07
Interest,0.02,0.09,0.06,0.09,0.07,0.04,0.05,0.02,0.01,0.06,0.05
Depreciation,0.11,0.56,0.58,1.12,1.03,1.0,0.94,0.9,0.87,1.05,0.84
Profit before tax,0.38,0.4,1.46,5.18,5.91,9.5,9.84,5.67,6.83,6.97,7.58
Tax %,2.63,-20.0,10.27,5.98,9.98,18.42,0.51,19.4,13.91,14.63,
Net Profit,0.37,0.47,1.31,4.87,5.32,7.75,9.79,4.57,5.88,5.96,6.56
EPS in Rs,0.44,0.39,1.1,4.09,4.46,6.5,8.21,3.83,4.93,5.0,5.27
