,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,8.32,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92
Reserves,8.5,9.28,10.42,14.91,19.71,26.8,35.76,40.03,45.49,51.15,53.51
Borrowings,0.67,0.7000000000000001,0.59,0.48,0.8300000000000001,0.21,2.37,0.08,0.01,1.23,1.26
Other Liabilities,4.0,3.12,3.58,6.28,18.89,71.42,9.17,8.27,10.14,8.21,9.03
Total Liabilities,21.49,25.02,26.51,33.59,51.35,110.35,59.22,60.3,67.56,72.51,75.72
Fixed Assets,7.03,10.34,4.23,13.67,13.28,12.58,12.41,12.83,12.14,15.78,14.47
CWIP,3.52,3.21,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,2.78,4.67,4.72,5.55,5.77,4.88,4.63,4.63,4.63,2.54,3.69
Other Assets,8.16,6.8,14.11,14.37,32.3,92.89,42.18,42.84,50.79,54.19,57.56
Total Assets,21.49,25.02,26.51,33.59,51.35,110.35,59.22,60.3,67.56,72.51,75.72
