,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,25.32,18.1,9.65,9.64,10.65,11.66,6.86,4.49,4.4
Expenses,21.85,11.91,7.9,7.49,10.12,9.02,4.78,2.59,2.9
Operating Profit,3.47,6.19,1.75,2.15,0.53,2.64,2.08,1.9,1.5
OPM %,13.7,34.2,18.13,22.3,4.98,22.64,30.32,42.32,34.09
Other Income,0.02,1.24,0.06,2.62,0.66,3.89,0.9,3.21,1.86
Interest,0.01,0.04,0.01,0.0,0.01,0.0,0.01,0.05,0.0
Depreciation,0.46,0.48,0.4,0.5,0.41,0.46,0.41,0.64,0.2
Profit before tax,3.02,6.91,1.4,4.27,0.77,6.07,2.56,4.42,3.16
Tax %,9.93,-2.17,0.0,25.76,36.36,11.04,0.0,23.08,0.0
Net Profit,2.74,7.05,1.4,3.17,0.48,5.4,2.56,3.4,3.16
EPS in Rs,2.12,5.4,1.17,2.34,0.4,4.33,1.92,2.85,2.42
