,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,0.18,2.44,-0.45,-1.9,-0.68
Cash from Investing Activity,-0.01,0.0,-0.1,-0.05,-0.01
Cash from Financing Activity,-0.18,-2.37,0.45,2.47,0.34
Net Cash Flow,0.0,0.07,-0.1,0.52,-0.35
