,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2.76,7.52,3.06,4.19,3.36,3.26
Expenses,2.44,7.2,2.99,4.09,3.33,3.17
Operating Profit,0.32,0.32,0.07,0.1,0.03,0.09
OPM %,11.59,4.26,2.29,2.39,0.89,2.76
Other Income,0.00,0.0,0.0,0.01,0.02,0.00
Interest,0.29,0.2,0.01,0.01,0.01,0.00
Depreciation,0.03,0.02,0.02,0.03,0.03,0.03
Profit before tax,0.00,0.1,0.04,0.07,0.01,0.06
Tax %,,30.0,25.0,28.57,0.0,
Net Profit,0.00,0.07,0.03,0.05,0.01,0.05
EPS in Rs,0.00,4.67,0.25,0.24,0.05,0.24
