,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,2.38,2.05,2.15,1.04,2.32,0.94
Expenses,2.15,2.11,2.0,1.03,2.30,0.87
Operating Profit,0.23,-0.06,0.15,0.01,0.02,0.07
OPM %,9.66,-2.93,6.98,0.96,0.86,7.45
Other Income,0.0,0.01,0.0,0.02,0.00,0.0
Interest,0.0,0.0,0.0,0.0,0.00,0.0
Depreciation,0.02,0.0,0.03,0.02,0.02,0.01
Profit before tax,0.21,-0.05,0.12,0.01,0.00,0.06
Tax %,0.0,0.0,16.67,0.0,,33.33
Net Profit,0.21,-0.05,0.1,0.01,0.00,0.05
EPS in Rs,1.75,-0.42,0.48,0.05,0.00,0.24
