,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,50.0,49,29,48
Inventory Days,158.0,151,172,187
Days Payable,84.0,84,64,49
Cash Conversion Cycle,125.0,116,137,185
Working Capital Days,110.0,102,110,155
ROCE %,,10,12,6
