,2022-06-01,2023-06-01,2023-09-01
Sales,43.73,46.43,92.73
Expenses,39.57,42.24,86.18
Operating Profit,4.16,4.19,6.55
OPM %,9.51,9.02,7.06
Other Income,0.06,0.02,0.22
Interest,1.64,1.44,3.24
Depreciation,1.33,1.33,1.9
Profit before tax,1.25,1.44,1.63
Tax %,28.0,27.78,31.9
Net Profit,0.9,1.04,1.11
EPS in Rs,0.61,0.51,0.55
