,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,34.25,31.23,34.85,39.03,45.95,50.41,58.87,59.04,76.77,62.07,80.35,93.41,98.20
Expenses,33.42,28.31,30.97,33.12,38.38,43.17,50.79,53.84,69.41,61.23,70.81,90.79,97.08
Operating Profit,0.83,2.92,3.88,5.91,7.57,7.24,8.08,5.2,7.36,0.84,9.54,2.62,1.12
OPM %,2.42,9.35,11.13,15.14,16.47,14.36,13.73,8.81,9.59,1.35,11.87,2.8,1.14
Other Income,0.43,0.32,0.21,0.17,0.07,0.14,0.26,1.45,0.02,0.11,1.14,3.12,4.01
Interest,1.07,0.98,1.25,1.76,1.54,1.43,2.34,2.57,1.7,6.41,6.67,5.19,4.74
Depreciation,2.09,2.1,1.1,1.15,1.99,1.77,1.83,0.98,1.14,1.28,1.2,1.11,1.17
Profit before tax,-1.9,0.16,1.74,3.17,4.11,4.18,4.17,3.1,4.54,-6.74,2.81,-0.56,-0.78
Tax %,-9.47,412.5,47.7,20.82,33.33,21.53,30.94,18.71,10.57,28.04,14.59,23.21,
Net Profit,-2.08,-0.5,0.91,2.52,2.74,3.28,2.88,2.52,4.06,-4.84,2.39,-0.43,-0.93
EPS in Rs,-2.03,-0.58,0.7,2.24,2.56,2.9,2.66,2.31,3.69,-4.59,2.24,-0.85,-1.45
