,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,86.96,151.32,97.96,149.84,81.88,75.46,92.82,61.68,9.87,6.8,5.77
Expenses,81.79,140.97,92.28,139.74,79.42,75.93,98.02,78.31,12.88,12.23,10.03
Operating Profit,5.17,10.35,5.68,10.1,2.46,-0.47,-5.2,-16.63,-3.01,-5.43,-4.26
OPM %,5.95,6.84,5.8,6.74,3.0,-0.62,-5.6,-26.96,-30.5,-79.85,-73.83
Other Income,1.19,1.38,2.62,1.58,3.28,3.4,5.93,3.82,5.54,3.98,2.02
Interest,2.33,3.82,3.59,4.08,3.33,3.31,4.62,4.24,1.49,0.98,0.33
Depreciation,0.68,1.24,1.16,1.4,1.44,1.61,1.55,1.81,0.75,0.4,0.25
Profit before tax,3.35,6.67,3.55,6.2,0.97,-1.99,-5.44,-18.86,0.29,-2.83,-2.82
Tax %,45.07,51.12,40.0,38.87,-12.37,25.63,15.26,-15.43,82.76,1.41,15.96
Net Profit,1.84,3.27,2.13,3.79,1.09,-1.48,-4.61,-21.78,0.05,-2.78,-2.38
EPS in Rs,13.76,9.78,6.37,11.34,3.26,-4.43,-13.79,-65.15,0.15,-8.32,-7.12
