,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,1.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34
Reserves,29.89,30.45,32.28,35.58,39.1,37.83,33.38,11.71,10.2,6.53,4.22
Preference Capital,0.0,0.0,0.0,1.25,0.0,1.25,1.25,0.0,0.0,,
Borrowings,6.87,10.91,9.99,8.53,11.21,11.25,12.29,21.18,5.49,2.29,0.25
Other Liabilities,59.68,50.4,44.11,58.24,43.37,53.07,57.16,40.16,13.53,12.31,4.93
Total Liabilities,97.78,95.1,89.72,105.69,97.02,105.49,106.17,76.39,32.56,24.47,12.74
Fixed Assets,12.5,15.92,17.23,16.88,16.25,16.05,14.73,18.24,3.66,1.74,0.9
CWIP,1.69,0.22,0.2,0.21,0.01,0.05,0.38,0.07,0.0,0.0,0.0
Investments,1.47,1.47,1.47,1.47,3.39,4.93,4.99,0.61,3.86,3.39,2.67
Other Assets,82.12,77.49,70.82,87.13,77.37,84.46,86.07,57.47,25.04,19.34,9.17
Total Assets,97.78,95.1,89.72,105.69,97.02,105.49,106.17,76.39,32.56,24.47,12.74
